"run_id","run_kind","scenario","seq","t_first_high","t_critical_confirmed","t_command_sent","t_actuator_received","t_actuator_applied","confirmation_us","command_latency_us","dispatch_latency_us","actuator_apply_us","post_confirmation_received_us","post_confirmation_applied_us","end_to_end_received_us","end_to_end_applied_us","deadline_us","result","post_confirmation_us","end_to_end_us"
"1","normal","timing_test.yaml","9","1627806","1827858","1839711","1850271","1850789","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"2","normal","timing_zone2_test.yaml","9","1627878","1827929","1839783","1850343","1850860","200051","11854","10560","517","22414","22931","222465","222982","500000","PASS","22414","222465"
"3","normal","timing_both_test.yaml","9","1627878","1827928","1839775","1850347","1850864","200050","11847","10572","517","22419","22936","222469","222986","500000","PASS","22419","222469"
"4","normal","timing_phase_test.yaml","10","1729219","1929271","1941193","1951773","1952290","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
"5","normal","timing_test.yaml","9","1629219","1829271","1841193","1851773","1852290","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
"6","normal","timing_zone2_test.yaml","9","1629219","1829271","1841193","1851773","1852290","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
"7","normal","timing_both_test.yaml","9","1628037","1828087","1839934","1850506","1851023","200050","11847","10572","517","22419","22936","222469","222986","500000","PASS","22419","222469"
"8","normal","timing_phase_test.yaml","10","1730219","1930271","1942193","1952773","1953290","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
"9","normal","timing_test.yaml","9","1627806","1827858","1839711","1850271","1850789","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"10","normal","timing_zone2_test.yaml","9","1627878","1827929","1839783","1850343","1850860","200051","11854","10560","517","22414","22931","222465","222982","500000","PASS","22414","222465"
"11","normal","timing_both_test.yaml","9","1629219","1829269","1841192","1851773","1852290","200050","11923","10581","517","22504","23021","222554","223071","500000","PASS","22504","222554"
"12","normal","timing_phase_test.yaml","10","1727806","1927858","1939711","1950271","1950789","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"13","normal","timing_test.yaml","9","1628357","1828409","1840262","1850822","1851340","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"14","normal","timing_zone2_test.yaml","9","1629219","1829271","1841193","1851773","1852290","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
"15","normal","timing_both_test.yaml","9","1630219","1830269","1842192","1852773","1853290","200050","11923","10581","517","22504","23021","222554","223071","500000","PASS","22504","222554"
"16","normal","timing_phase_test.yaml","10","1729219","1929271","1941193","1951773","1952290","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
"17","normal","timing_test.yaml","9","1627898","1827950","1839803","1850363","1850880","200052","11853","10560","517","22413","22930","222465","222982","500000","PASS","22413","222465"
"18","normal","timing_zone2_test.yaml","9","1628343","1828395","1840248","1850809","1851326","200052","11853","10561","517","22414","22931","222466","222983","500000","PASS","22414","222466"
"19","normal","timing_both_test.yaml","9","1627806","1827856","1839703","1850275","1850793","200050","11847","10572","518","22419","22937","222469","222987","500000","PASS","22419","222469"
"20","normal","timing_phase_test.yaml","10","1727878","1927929","1939783","1950343","1950860","200051","11854","10560","517","22414","22931","222465","222982","500000","PASS","22414","222465"
"21","diagnostic_load","timing_load_test.yaml","9","1627954","1828006","1839859","1850419","1850937","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"22","diagnostic_load","timing_load_test.yaml","9","1628219","1828270","1840124","1850684","1851201","200051","11854","10560","517","22414","22931","222465","222982","500000","PASS","22414","222465"
"23","diagnostic_load","timing_load_test.yaml","9","1627954","1828006","1839859","1850419","1850937","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"24","diagnostic_load","timing_load_test.yaml","9","1627954","1828006","1839859","1850419","1850937","200052","11853","10560","518","22413","22931","222465","222983","500000","PASS","22413","222465"
"25","diagnostic_load","timing_load_test.yaml","9","1628367","1828419","1840341","1850921","1851438","200052","11922","10580","517","22502","23019","222554","223071","500000","PASS","22502","222554"
