"run_kind","metric","count","min_us","max_us","average_us","median_us","stddev_us","p95_us","p99_us"
"normal","confirmation_us","20","200050","200052","200051.35","200052","0.85","200052","200052"
"normal","command_latency_us","20","11847","11923","11879.95","11854","34.61","11923","11923"
"normal","dispatch_latency_us","20","10560","10581","10569.95","10572","9.31","10581","10581"
"normal","actuator_apply_us","20","517","518","517.25","517","0.43","518","518"
"normal","post_confirmation_received_us","20","22413","22504","22449.9","22419","42.99","22504","22504"
"normal","post_confirmation_applied_us","20","22930","23021","22967.15","22936","42.79","23021","23021"
"normal","end_to_end_received_us","20","222465","222554","222501.25","222469","43.09","222554","222554"
"normal","end_to_end_applied_us","20","222982","223071","223018.5","222986","42.89","223071","223071"
"diagnostic_load","confirmation_us","5","200051","200052","200051.8","200052","0.4","200052","200052"
"diagnostic_load","command_latency_us","5","11853","11922","11867","11853","27.5","11922","11922"
"diagnostic_load","dispatch_latency_us","5","10560","10580","10564","10560","8","10580","10580"
"diagnostic_load","actuator_apply_us","5","517","518","517.6","518","0.49","518","518"
"diagnostic_load","post_confirmation_received_us","5","22413","22502","22431","22413","35.5","22502","22502"
"diagnostic_load","post_confirmation_applied_us","5","22931","23019","22948.6","22931","35.2","23019","23019"
"diagnostic_load","end_to_end_received_us","5","222465","222554","222482.8","222465","35.6","222554","222554"
"diagnostic_load","end_to_end_applied_us","5","222982","223071","223000.4","222983","35.3","223071","223071"
