"run_id","run_kind","scenario","task","duration_us","sequence"
"1","normal","timing_test.yaml","TaskActuator","1004","1"
"1","normal","timing_test.yaml","TaskSafety","1786","1"
"1","normal","timing_test.yaml","TaskSensors","2680","1"
"1","normal","timing_test.yaml","TaskSafety","1882","7"
"1","normal","timing_test.yaml","TaskSensors","2765","7"
"2","normal","timing_zone2_test.yaml","TaskActuator","1004","1"
"2","normal","timing_zone2_test.yaml","TaskSafety","1786","1"
"2","normal","timing_zone2_test.yaml","TaskSensors","2679","1"
"2","normal","timing_zone2_test.yaml","TaskSafety","1883","7"
"2","normal","timing_zone2_test.yaml","TaskSensors","2764","7"
"3","normal","timing_both_test.yaml","TaskActuator","847","1"
"3","normal","timing_both_test.yaml","TaskSafety","1766","1"
"3","normal","timing_both_test.yaml","TaskSensors","2662","1"
"3","normal","timing_both_test.yaml","TaskSafety","1865","7"
"3","normal","timing_both_test.yaml","TaskSensors","2746","7"
"4","normal","timing_phase_test.yaml","TaskActuator","985","1"
"4","normal","timing_phase_test.yaml","TaskSafety","1771","1"
"4","normal","timing_phase_test.yaml","TaskSensors","2584","1"
"4","normal","timing_phase_test.yaml","TaskSafety","1873","8"
"4","normal","timing_phase_test.yaml","TaskSensors","2754","8"
"5","normal","timing_test.yaml","TaskActuator","1007","1"
"5","normal","timing_test.yaml","TaskSafety","1789","1"
"5","normal","timing_test.yaml","TaskSensors","2679","1"
"5","normal","timing_test.yaml","TaskSafety","1883","7"
"5","normal","timing_test.yaml","TaskSensors","2764","7"
"6","normal","timing_zone2_test.yaml","TaskActuator","1002","1"
"6","normal","timing_zone2_test.yaml","TaskSafety","1784","1"
"6","normal","timing_zone2_test.yaml","TaskSensors","2636","1"
"6","normal","timing_zone2_test.yaml","TaskSafety","1882","7"
"6","normal","timing_zone2_test.yaml","TaskSensors","2764","7"
"7","normal","timing_both_test.yaml","TaskActuator","1004","1"
"7","normal","timing_both_test.yaml","TaskSafety","1786","1"
"7","normal","timing_both_test.yaml","TaskSensors","2679","1"
"7","normal","timing_both_test.yaml","TaskSafety","1883","7"
"7","normal","timing_both_test.yaml","TaskSensors","2764","7"
"8","normal","timing_phase_test.yaml","TaskActuator","1007","1"
"8","normal","timing_phase_test.yaml","TaskSafety","1789","1"
"8","normal","timing_phase_test.yaml","TaskSensors","2680","1"
"8","normal","timing_phase_test.yaml","TaskSafety","1883","8"
"8","normal","timing_phase_test.yaml","TaskSensors","2764","8"
"9","normal","timing_test.yaml","TaskActuator","1006","1"
"9","normal","timing_test.yaml","TaskSafety","1790","1"
"9","normal","timing_test.yaml","TaskSensors","2645","1"
"9","normal","timing_test.yaml","TaskSafety","1883","7"
"9","normal","timing_test.yaml","TaskSensors","2764","7"
"10","normal","timing_zone2_test.yaml","TaskActuator","901","1"
"10","normal","timing_zone2_test.yaml","TaskSafety","1895","1"
"10","normal","timing_zone2_test.yaml","TaskSensors","2621","1"
"11","normal","timing_both_test.yaml","TaskActuator","985","1"
"11","normal","timing_both_test.yaml","TaskSafety","1771","1"
"11","normal","timing_both_test.yaml","TaskSensors","2584","1"
"11","normal","timing_both_test.yaml","TaskSafety","1865","7"
"11","normal","timing_both_test.yaml","TaskSensors","2746","7"
"12","normal","timing_phase_test.yaml","TaskActuator","985","1"
"12","normal","timing_phase_test.yaml","TaskSafety","1771","1"
"12","normal","timing_phase_test.yaml","TaskSensors","2584","1"
"12","normal","timing_phase_test.yaml","TaskSafety","1873","8"
"12","normal","timing_phase_test.yaml","TaskSensors","2754","8"
"13","normal","timing_test.yaml","TaskActuator","985","1"
"13","normal","timing_test.yaml","TaskSafety","1771","1"
"13","normal","timing_test.yaml","TaskSensors","2584","1"
"13","normal","timing_test.yaml","TaskSafety","1873","7"
"13","normal","timing_test.yaml","TaskSensors","2754","7"
"14","normal","timing_zone2_test.yaml","TaskActuator","1002","1"
"14","normal","timing_zone2_test.yaml","TaskSafety","1784","1"
"14","normal","timing_zone2_test.yaml","TaskSensors","2637","1"
"14","normal","timing_zone2_test.yaml","TaskSafety","1882","7"
"14","normal","timing_zone2_test.yaml","TaskSensors","2764","7"
"15","normal","timing_both_test.yaml","TaskActuator","923","1"
"15","normal","timing_both_test.yaml","TaskSafety","1786","1"
"15","normal","timing_both_test.yaml","TaskSensors","2683","1"
"15","normal","timing_both_test.yaml","TaskSafety","1865","7"
"15","normal","timing_both_test.yaml","TaskSensors","2746","7"
"16","normal","timing_phase_test.yaml","TaskActuator","924","1"
"16","normal","timing_phase_test.yaml","TaskSafety","1799","1"
"16","normal","timing_phase_test.yaml","TaskSensors","2697","1"
"16","normal","timing_phase_test.yaml","TaskSafety","1873","8"
"16","normal","timing_phase_test.yaml","TaskSensors","2754","8"
"17","normal","timing_test.yaml","TaskActuator","1004","1"
"17","normal","timing_test.yaml","TaskSafety","1786","1"
"17","normal","timing_test.yaml","TaskSensors","2680","1"
"17","normal","timing_test.yaml","TaskSafety","1882","7"
"17","normal","timing_test.yaml","TaskSensors","2765","7"
"18","normal","timing_zone2_test.yaml","TaskActuator","1002","1"
"18","normal","timing_zone2_test.yaml","TaskSafety","1784","1"
"18","normal","timing_zone2_test.yaml","TaskSensors","2636","1"
"18","normal","timing_zone2_test.yaml","TaskSafety","1882","7"
"18","normal","timing_zone2_test.yaml","TaskSensors","2764","7"
"19","normal","timing_both_test.yaml","TaskActuator","1004","1"
"19","normal","timing_both_test.yaml","TaskSafety","1786","1"
"19","normal","timing_both_test.yaml","TaskSensors","2680","1"
"19","normal","timing_both_test.yaml","TaskSafety","1882","7"
"19","normal","timing_both_test.yaml","TaskSensors","2765","7"
"20","normal","timing_phase_test.yaml","TaskActuator","1007","1"
"20","normal","timing_phase_test.yaml","TaskSafety","1789","1"
"20","normal","timing_phase_test.yaml","TaskSensors","2680","1"
"20","normal","timing_phase_test.yaml","TaskSafety","1883","8"
"20","normal","timing_phase_test.yaml","TaskSensors","2764","8"
"21","diagnostic_load","timing_load_test.yaml","TaskActuator","1008","1"
"21","diagnostic_load","timing_load_test.yaml","TaskSafety","1791","1"
"21","diagnostic_load","timing_load_test.yaml","TaskSensors","2683","1"
"21","diagnostic_load","timing_load_test.yaml","TaskSafety","1872","7"
"21","diagnostic_load","timing_load_test.yaml","TaskSensors","2755","7"
"22","diagnostic_load","timing_load_test.yaml","TaskActuator","923","1"
"22","diagnostic_load","timing_load_test.yaml","TaskSafety","1786","1"
"22","diagnostic_load","timing_load_test.yaml","TaskSensors","2683","1"
"22","diagnostic_load","timing_load_test.yaml","TaskSafety","1873","7"
"22","diagnostic_load","timing_load_test.yaml","TaskSensors","2754","7"
"23","diagnostic_load","timing_load_test.yaml","TaskActuator","1007","1"
"23","diagnostic_load","timing_load_test.yaml","TaskSafety","1789","1"
"23","diagnostic_load","timing_load_test.yaml","TaskSensors","2679","1"
"23","diagnostic_load","timing_load_test.yaml","TaskSafety","1883","7"
"23","diagnostic_load","timing_load_test.yaml","TaskSensors","2764","7"
"24","diagnostic_load","timing_load_test.yaml","TaskActuator","985","1"
"24","diagnostic_load","timing_load_test.yaml","TaskSafety","1771","1"
"24","diagnostic_load","timing_load_test.yaml","TaskSensors","2584","1"
"24","diagnostic_load","timing_load_test.yaml","TaskSafety","1873","7"
"24","diagnostic_load","timing_load_test.yaml","TaskSensors","2754","7"
"25","diagnostic_load","timing_load_test.yaml","TaskActuator","1008","1"
"25","diagnostic_load","timing_load_test.yaml","TaskSafety","1793","1"
"25","diagnostic_load","timing_load_test.yaml","TaskSensors","2687","1"
"25","diagnostic_load","timing_load_test.yaml","TaskSafety","1883","7"
"25","diagnostic_load","timing_load_test.yaml","TaskSensors","2764","7"
